id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1351319639692024388,Bright light and cosy apartment,196723966,Mj,,Wan Chai,22.27447,114.17461,Entire home/apt,576,28,0,,,15,130,0,
1351813453840957912,Clean and Private peaceful place,451476949,Rajarshi,,Sai Kung,22.2973,114.27253,Entire home/apt,350,1,0,,,1,89,0,
1351915825571761729,Large 3BR 2BTH Apartment In The Heart of TST,677627081,Leaza,,Yau Tsim Mong,22.30118054859606,114.17610037008042,Entire home/apt,1967,2,2,2025-04-12,0.63,4,227,2,
1352059031670596265,Designer Seaside Studio - Stanley Village,499531866,Gillian Hoi Yi,,Southern,22.21734,114.21337,Entire home/apt,665,1,6,2025-06-01,1.84,2,143,6,
1352525656460256037,A Cozy Apt 5 Mins to Subway,503715656,Mei Mei,,Kwai Tsing,22.34859912923329,114.1273675445198,Entire home/apt,752,4,2,2025-05-04,0.87,1,131,2,
1353305805458548617,陽光海景套房/一周一次清潔,198109516,Rachel,,Wan Chai,22.280132317348343,114.18601708654352,Private room,330,28,0,,,54,364,0,
1353994778827733376,香港科大大學Hkust single room,94933332,Queenie CNT,,Sai Kung,22.35017,114.25085,Private room,240,7,0,,,6,355,0,
1354173487920250783,"lovely room on Central,Mid-level",678216727,Hyunhee,,Central & Western,22.2818683,114.1527392,Private room,198,122,0,,,1,365,0,
1354329742037633273,Comfy Studio in Fortress Hill,196723966,Mj,,Eastern,22.290857161111344,114.19712918783351,Entire home/apt,596,28,1,2025-04-15,0.44,15,361,1,
1354362691890096807,Hidden Gem Best & Spacious 2BR City Center Apt,677627081,Leaza,,Yau Tsim Mong,22.31111,114.17137,Entire home/apt,805,1,0,,,4,161,0,
1354846843011198932,核心地段，短期旅居,508084570,Shuk Man,,Yau Tsim Mong,22.30589605710552,114.17018558340637,Private room,284,4,4,2025-05-05,1.74,8,70,4,
1354963572850055533,精進國際酒店 JST Hotel (南昌/深水埗)標準大床房,676401416,,,Sham Shui Po,22.32774,114.1603,Private room,395,1,2,2025-05-03,0.55,7,85,2,
1354967273995543761,精進國際酒店雙床房型,676401416,,,Sham Shui Po,22.32652,114.1598,Private room,468,1,4,2025-04-13,1.01,7,88,4,
1355048149513418776,10樓 其中四個房間 最多共可容納8-14人尖沙咀尖東站p3出口,119690131,Cannis,,Yau Tsim Mong,22.29927,114.17562,Private room,1345,1,0,,,44,364,0,
1355420603038712798,Cozy Flat with Unique Charm,671609261,Karisma,,Tuen Mun,22.36887,113.99911,Entire home/apt,865,1,0,,,1,341,0,
1355653997323680168,35% off~ Comfy 2 Bdrs for 6 ppls.,678560776,Piu,,Yau Tsim Mong,22.29886,114.17381,Entire home/apt,738,3,3,2025-05-04,0.78,6,363,3,
1355964612195812856,8號房,149784855,霖华,,Yau Tsim Mong,22.29819,114.17384,Entire home/apt,354,1,0,,,4,364,0,
1356116355283566249,30 % off ~ Cozy 1 Bdrs Apt for 4 ppls,678560776,Piu,,Yau Tsim Mong,22.29857,114.17285,Entire home/apt,585,3,4,2025-05-04,1.05,6,315,4,
1356135403962623847,Seaview room with private toilet,7997635,Oi Chin,,Kowloon City,22.32279,114.19021,Private room,430,30,0,,,3,364,0,
1356142704808391315,900sqft Very spacious & bright apt in Happy Valley,14269759,Michael,,Wan Chai,22.27665,114.18186,Entire home/apt,1074,2,2,2025-04-23,0.71,1,363,2,
1356233842514691746,精進國際酒店JST hotel 標準三人間（三張單人床）,676401416,,,Sham Shui Po,22.326175125869568,114.16022199306646,Private room,540,1,4,2025-05-21,1.00,7,88,4,
1356236260277354205,JST Hotel 精進國際酒店(深水埗/南昌)榻榻米經濟房-大床or雙床,676401416,,,Sham Shui Po,22.3269069,114.1608652,Private room,367,1,9,2025-05-23,2.27,7,209,9,
1356991530520231372,銅鑼灣中心高層寬敞套房/一周一次清潔,198109516,Rachel,,Wan Chai,22.280458700394362,114.18460147358708,Private room,320,30,0,,,54,364,0,
1357660225413188287,35% discount  2Bdrs  for 6 ppls,678560776,Piu,,Yau Tsim Mong,22.298622224416665,114.1737637881311,Entire home/apt,865,2,4,2025-06-10,1.56,6,357,4,
1357792171875232417,"Dior cinema Loft (Disney , airport , Kowloon)",668398703,Bin,,Kwai Tsing,22.36853365322241,114.13804718614239,Entire home/apt,803,7,0,,,5,90,0,
1357912743032070124,Modern & Cozy Apartment-Wanchai,679133783,Richard,,Wan Chai,22.276775,114.168723,Entire home/apt,990,1,4,2025-06-02,1.28,1,283,4,
1358137720235286777,港島核心公寓CBD,668398703,Bin,,Southern,22.24751,114.17482,Entire home/apt,1700,1,0,,,5,365,0,
1358458528254406089,佐敦聖地高級雙人大床房,396596921,Ho Yan,,Yau Tsim Mong,22.3047585,114.1722869,Private room,346,1,1,2025-04-06,0.38,13,312,1,
1358587286573585806,南島一角 Southern Solace,679324775,Carmen,,Islands,22.22855,114.11677,Entire home/apt,747,28,0,,,1,363,0,
1358982170448604846,Historical penthouse duplex in kowloon,6763017,Hoi Yan Sarina,,Yau Tsim Mong,22.314873636197095,114.17091995855804,Private room,,2,0,,,199,364,0,
1359196913337278466,Cozy Charming private Room,260602439,,,Sai Kung,22.382653760230628,114.27020734201957,Private room,432,1,2,2025-06-19,2,1,356,2,
1359919776160722808,Central TST Pleasant Double Room (Windowless),340318261,Airy Stay,,Yau Tsim Mong,22.29764,114.17476,Private room,396,1,2,2025-05-04,0.69,11,338,2,
1359927728429640161,Spacious Standard Double Room at Central TST,340318261,Airy Stay,,Yau Tsim Mong,22.2991,114.17489,Private room,466,1,5,2025-04-18,1.42,11,346,5,
1360007937593420622,Cosy 1 bedroom home and terrace,679713683,Alain,,Central & Western,22.28323,114.1509,Entire home/apt,800,3,2,2025-05-15,0.71,1,0,2,
1360654320783819349,Tiny House Countryside,59397690,Ming Kwong,,Yuen Long,22.462632594463827,114.02033946989027,Private room,234,2,2,2025-05-11,0.87,1,307,2,
